option_name,Risk/Volatility,Expected Return,Time Horizon,Liquidity,Diversification,Access,Tax Efficiency,Inflation Protection,Fees
Developed Market Stocks,3,7.0,4,5,3,5,2,2,0.5
Emerging Market Stocks,2,10.0,4,4,4,5,2,2,0.75
Government Bonds,5,4.0,3,5,3,5,3,1,0.1
Municipal Bonds,4,7.0,3,3,3,5,5,1,0.5
Real Estate (REITs),3,7.0,4,3,3,5,2,3,0.75
Commodities,2,7.0,3,5,4,5,1,5,0.75
Precious Metals,3,7.0,4,5,4,5,1,5,0.5
Cryptocurrencies,1,15.0,4,5,3,5,1,2,0.75
Private Credit / Direct Lending,3,10.0,4,1,3,3,2,3,0.75
Venture / Private Equity Exposure,2,15.0,5,1,3,3,2,3,2.0
Farmland / Timberland,4,7.0,5,1,4,3,2,5,0.75
Hedge Fund Replication ETFs,3,7.0,3,5,3,5,3,1,0.5
Structured Products / Buffered ETFs,4,7.0,3,3,2,5,3,1,0.75
Infrastructure ETFs,3,7.0,5,5,3,5,3,3,0.75
Cash & Cash Equivalents,5,2.0,1,5,1,5,3,1,0.1
